index,var,beta_clock3,CHR,bp_hg38,Gene,Gene.hg19,ENTREZID,conservationInMouse,GeneRegionID,annotation,CHR_mm10,bp_mm10,Gene_mm10
146,cg23985931,0.159317241256797,13,78594976,OBI1-AS1,OBI1-AS1,100874222,mapped to different gene in human and mouse,OBI1-AS1_Intron,"Intron (ENST00000607205.5/100874222, intron 2 of 3)",14,104459378.0,Pou4f1
629,cg05535461,0.15906518107643,2,172072476,METAP1D,METAP1D,254042,conserved gene and region in mouse and human,METAP1D_Intron,"Intron (ENST00000315796.5/254042, intron 6 of 9)",2,71517174.0,Metap1d
205,cg12307242,0.154614601817642,7,122328825,CADPS2,CADPS2,93664,conserved gene and region in mouse and human,CADPS2_Intron,"Intron (ENST00000482375.5/ENST00000482375.5, intron 1 of 3)",6,23272758.0,Cadps2
336,cg25699407,0.153052202698508,6,19839215,ID4,ID4,3400,conserved gene and region in mouse and human,ID4_threeUTR,3' UTR,13,48262957.0,Id4
517,cg06158983,0.153012832949578,2,50054993,NRXN1,NRXN1,9378,"mapped in human, not mapped in mouse",NRXN1_Exon,"Exon (ENST00000401669.7/9378, exon 20 of 23)",17,90163830.0,Nrxn1
90,cg22113843,0.152062484139844,10,74826606,KAT6B,KAT6B,23522,conserved gene and region in mouse and human,KAT6B_fiveUTR,Promoter (<=1kb),14,21500943.0,Kat6b
187,cg11677981,0.151532645051346,15,89360535,MIR9-3HG,MIR9-3,254559,mapped to different gene in human and mouse,MIR9-3HG_Promoter,Promoter (1-2kb),7,79497894.0,Polg
589,cg26920416,0.150984651852715,9,138102700,CACNA1B,CACNA1B,774,conserved gene and region in mouse and human,CACNA1B_Intron,"Intron (ENST00000371372.6/774, intron 37 of 46)",2,24625344.0,Cacna1b
392,cg14299268,0.150762381212568,20,9373073,PLCB4,PLCB4,5332,conserved gene and region in mouse and human,PLCB4_Exon,"Exon (ENST00000378473.7/5332, exon 11 of 38)",2,135939973.0,Plcb4
102,cg25140691,0.149110905547279,17,40351071,RARA,RARA,5914,"mapped in human, not mapped in mouse",RARA_Intron,"Intron (ENST00000254066.10/5914, intron 4 of 8)",11,98969327.0,Rara
299,cg18094982,0.148648511353672,12,20695438,SLCO1C1,SLCO1C1,53919,"mapped in human, not mapped in mouse",SLCO1C1_fiveUTR,Promoter (<=1kb),6,141524375.0,Slco1c1
168,cg00650422,0.148391342932338,14,60723254,SIX4,SIX4,51804,conserved gene and region in mouse and human,SIX4_Exon,"Exon (ENST00000216513.5/51804, exon 1 of 3)",12,73112385.0,Six4
290,cg08446005,0.145241615192606,17,78359055,SOCS3,SOCS3,9021,"mapped in human, not mapped in mouse",SOCS3_Exon,"Exon (ENST00000330871.3/9021, exon 2 of 2)",11,117968190.0,Socs3
630,cg08402704,0.144376176809899,1,90851824,LINC01763,BARHL2,105378854,mapped to different gene in human and mouse,LINC01763_Exon,Promoter (<=1kb),5,106574936.0,Gm17304
744,cg12449245,0.137090625873404,14,72619953,DPF3,DPF3,8110,conserved gene and region in mouse and human,DPF3_Exon,"Exon (ENST00000556509.5/8110, exon 10 of 11)",12,83216378.0,Dpf3
558,cg04706544,0.133010484467009,10,49396706,DRGX,DRGX,644168,conserved gene and region in mouse and human,DRGX_Promoter,Promoter (<=1kb),14,32598755.0,Prrxl1
309,cg01137681,0.132885563214952,11,12764208,TEAD1,TEAD1,7003,conserved gene and region in mouse and human,TEAD1_fiveUTR,5' UTR,7,112759413.0,Tead1
120,cg18141557,0.128817887036742,2,104855768,POU3F3,POU3F3,5455,conserved gene and region in mouse and human,POU3F3_Exon,"Exon (ENST00000361360.4/5455, exon 1 of 1)",1,42697400.0,Pou3f3
739,cg17829569,0.126888068182134,X,39514829,LINC01282,LINC01281,101927449,mapped to different gene in human and mouse,LINC01282_Intergenic_upstream,Distal Intergenic,X,11490190.0,Gm14515
105,cg01486146,0.125366903275581,10,100655554,PAX2,PAX2,5076,conserved gene and region in mouse and human,PAX2_Intergenic_upstream,Distal Intergenic,19,44671164.0,Pax2
149,cg15437942,0.122866360908086,9,124018172,LHX2,LHX2,9355,conserved gene and region in mouse and human,LHX2_Intron,"Intron (ENST00000373615.9/9355, intron 3 of 4)",2,38357359.0,Lhx2
410,cg10487127,0.122723022781783,6,16761437,ATXN1-AS1,ATXN1,101928433,mapped to different gene in human and mouse,ATXN1-AS1_fiveUTR,Promoter (<=1kb),13,45964954.0,Atxn1
726,cg21510166,0.120863906820395,10,100787461,PAX2,PAX2,5076,conserved gene and region in mouse and human,PAX2_Intron,"Intron (ENST00000553492.5/5076, intron 3 of 3)",19,44797139.0,Pax2
233,cg15597031,0.119983764849836,10,97982587,CRTAC1,CRTAC1,55118,conserved gene and region in mouse and human,CRTAC1_Intron,"Intron (ENST00000370597.8/55118, intron 2 of 14)",19,42388734.0,Crtac1
339,cg00493843,0.118059695200556,1,39898349,MYCL,MYCL,4610,conserved gene and region in mouse and human,MYCL_Intron,"Intron (ENST00000418255.1/ENST00000418255.1, intron 1 of 1)",4,122999527.0,Mycl
432,cg07071132,0.117906668948855,2,176136390,HOXD-AS2,HOXD-AS2,100506783,mapped to different gene in human and mouse,HOXD-AS2_Promoter,Promoter (<=1kb),2,74711739.0,Hoxd3
250,cg26472530,0.116176349665905,5,93585332,NR2F1-AS1,NR2F1,441094,mapped to different gene in human and mouse,NR2F1-AS1_Exon,Promoter (<=1kb),13,78198273.0,Nr2f1
395,cg18851565,0.114777652717374,20,47238847,ZMYND8,ZMYND8,23613,conserved gene and region in mouse and human,ZMYND8_Exon,"Exon (ENST00000311275.11/23613, exon 15 of 22)",2,165807626.0,Zmynd8
73,cg18573296,0.112850106946485,10,75693591,LRMDA,LRMDA,83938,conserved gene and region in mouse and human,LRMDA_Intron,"Intron (ENST00000611255.5/83938, intron 2 of 6)",14,22241022.0,Lrmda
725,cg23783364,0.112686268565493,4,84443569,NKX6-1,NKX6-1,4825,conserved gene and region in mouse and human,NKX6-1_Intergenic_downstream,Distal Intergenic,5,101603254.0,Nkx6-1
76,cg25622623,0.111890055666708,17,61399779,LOC101927855,TBX2,101927855,mapped to different gene in human and mouse,LOC101927855_Promoter,Promoter (<=1kb),11,85832704.0,Tbx2
402,cg07800922,0.1112095084738,14,97311079,LINC02325,LINC02291,101929241,"mapped in human, not mapped in mouse",LINC02325_Intergenic_upstream,Distal Intergenic,12,106389604.0,Gm3191
702,cg07014363,0.110807787186937,11,131562171,NTM,NTM,50863,conserved gene and region in mouse and human,NTM_Intron,"Intron (ENST00000374791.7/50863, intron 1 of 7)",9,29771589.0,Ntm
69,cg26781330,0.109453558036219,12,53600991,ATF7,ATF7,11016,"mapped in human, not mapped in mouse",ATF7_fiveUTR,5' UTR,15,102593710.0,Atf7
382,cg02471195,0.108796336767097,2,143594437,ARHGAP15,ARHGAP15,55843,conserved gene and region in mouse and human,ARHGAP15_Intron,"Intron (ENST00000295095.11/55843, intron 11 of 13)",2,44208337.0,Arhgap15
213,cg12642246,0.108514540484579,17,47982387,CDK5RAP3,CDK5RAP3,80279,conserved gene but different region in human and mouse,CDK5RAP3_Intron,"Intron (ENST00000578239.1/ENST00000578239.1, intron 1 of 1)",11,96907193.0,Cdk5rap3
407,cg16582309,0.107875857684084,16,24214762,PRKCB,PRKCB,5579,conserved gene and region in mouse and human,PRKCB_Exon,"Exon (ENST00000643927.1/5579, exon 17 of 17)",7,122627760.0,Prkcb
167,cg21815434,0.107073216838167,13,76885221,KCTD12,KCTD12,115207,conserved gene and region in mouse and human,KCTD12_Exon,"Exon (ENST00000377474.4/115207, exon 1 of 1)",14,102981507.0,Kctd12
477,cg19051359,0.10701518274514,13,54394457,MIR1297,MIR1297,100302187,mapped to different gene in human and mouse,MIR1297_Intergenic_upstream,Distal Intergenic,14,81441366.0,Cyp2c73-ps
385,cg09061197,0.103388119381704,3,136151421,MSL2,MSL2,55167,conserved gene and region in mouse and human,MSL2_Exon,"Exon (ENST00000309993.3/55167, exon 2 of 2)",9,101101887.0,Msl2
60,cg07423797,0.102672185257971,22,43262719,SCUBE1,SCUBE1,80274,conserved gene and region in mouse and human,SCUBE1_Exon,"Exon (ENST00000360835.9/80274, exon 5 of 22)",15,83659025.0,Scube1
501,cg11610869,0.101493013588436,16,54890798,CRNDE,CRNDE,643911,mapped to different gene in human and mouse,CRNDE_Intron,"Intron (ENST00000613942.2/643911, intron 4 of 5)",8,92335502.0,Irx5
492,cg26420776,0.100836211739172,7,1237756,UNCX,UNCX,340260,conserved gene and region in mouse and human,UNCX_Intergenic_downstream,Distal Intergenic,5,139548762.0,Uncx
475,cg19323953,0.0995991129567728,6,8838794,LOC100506207,HULC,100506207,mapped to different gene in human and mouse,LOC100506207_Exon,"Exon (ENST00000643058.1/100506207, exon 5 of 5)",13,39297245.0,Slc35b3
487,cg10439738,0.0989386701349916,9,125542176,MAPKAP1,MAPKAP1,79109,conserved gene and region in mouse and human,MAPKAP1_Intron,"Intron (ENST00000373511.6/79109, intron 7 of 10)",2,34535014.0,Mapkap1
678,cg17554167,0.0986161250055873,17,2063331,SMG6,SMG6,23293,conserved gene and region in mouse and human,SMG6_Intron,"Intron (ENST00000263073.11/23293, intron 18 of 18)",11,75161286.0,Smg6
84,cg17049911,0.098395830901389,17,78359071,SOCS3,SOCS3,9021,conserved gene and region in mouse and human,SOCS3_Exon,"Exon (ENST00000330871.3/9021, exon 2 of 2)",11,117968206.0,Socs3
716,cg03917360,0.0980445160261809,16,54543200,LINC02140,IRX3,100996345,mapped to different gene in human and mouse,LINC02140_Exon,"Exon (ENST00000637822.1/ENST00000637822.1, exon 6 of 6)",8,92026859.0,Irx3
52,cg02828846,0.0978980085643915,2,162421588,KCNH7,KCNH7,90134,conserved gene and region in mouse and human,KCNH7_Intron,"Intron (ENST00000618399.4/90134, intron 8 of 14)",2,62762849.0,Kcnh7
240,cg06156376,0.0960035953071602,3,158106025,RSRC1,SHOX2,51319,mapped to different gene in human and mouse,RSRC1_fiveUTR,Promoter (<=1kb),3,66981557.0,Rsrc1
106,cg05575054,0.0941406610227511,10,114045209,ADRB1,ADRB1,153,conserved gene and region in mouse and human,ADRB1_Exon,"Exon (ENST00000369295.4/153, exon 1 of 1)",19,56723415.0,Adrb1
667,cg22144210,0.0939368676603925,17,57679579,MSI2,MSI2,124540,conserved gene and region in mouse and human,MSI2_threeUTR,3' UTR,11,88344629.0,Msi2
66,cg16867657,0.0937017295205689,6,11044644,ELOVL2-AS1,ELOVL2-AS1,100506409,"mapped in human, not mapped in mouse",ELOVL2-AS1_Exon,"Exon (ENST00000607275.6/100506409, exon 1 of 3)",,,
365,cg18691948,0.0935568759347824,7,8441437,NXPH1,NXPH1,30010,conserved gene and region in mouse and human,NXPH1_Intron,"Intron (ENST00000405863.6/30010, intron 2 of 2)",6,8956158.0,Nxph1
580,cg16391501,0.0923420337713722,10,100654689,PAX2,PAX2,5076,conserved gene and region in mouse and human,PAX2_Intergenic_upstream,Distal Intergenic,19,44670430.0,Pax2
712,cg01224972,0.0923102930733965,6,108280569,AFG1L,AFG1L,246269,conserved gene but different region in human and mouse,AFG1L_Intergenic_upstream,Distal Intergenic,10,42487106.0,Afg1l
209,cg14397160,0.0898763341094906,7,70132461,AUTS2,AUTS2,26053,"mapped in human, not mapped in mouse",AUTS2_Intron,"Intron (ENST00000644939.1/26053, intron 3 of 18)",,,
447,cg03320248,0.0886249795515302,9,132099317,MED27,MED27,9442,conserved gene and region in mouse and human,MED27_Intergenic_upstream,Distal Intergenic,2,29320768.0,Med27
372,cg17116410,0.0878282902772868,12,54037896,HOXC4,HOXC4,3221,conserved gene but different region in human and mouse,HOXC4_Exon,"Exon (ENST00000507650.1/3221, exon 1 of 3)",15,103018923.0,Hoxc4
605,cg27547112,0.0876893730028635,9,83973650,HNRNPK,HNRNPK,3190,conserved gene but different region in human and mouse,HNRNPK_Intron,"Intron (ENST00000448389.1/ENST00000448389.1, intron 1 of 1)",13,58395939.0,Hnrnpk
396,cg24393114,0.0831422417727486,13,42720528,FAM216B,FAM216B,144809,mapped to different gene in human and mouse,FAM216B_Intergenic_upstream,Distal Intergenic,14,78159796.0,Gm48959
564,cg05736341,0.0823372730472115,3,18370871,SATB1,SATB1,6304,conserved gene but different region in human and mouse,SATB1_Intron,"Intron (ENST00000414318.2/9779, intron 1 of 8)",17,51761470.0,Satb1
595,cg24924928,0.0817245898737684,17,29286101,NUFIP2,NUFIP2,57532,conserved gene and region in mouse and human,NUFIP2_Exon,"Exon (ENST00000225388.9/57532, exon 2 of 4)",11,77693144.0,Nufip2
545,cg08909367,0.0806214741063186,21,33096020,OLIG1,OLIG1,116448,conserved gene but different region in human and mouse,OLIG1_Intergenic_downstream,Distal Intergenic,16,91293063.0,Olig1
333,cg01153166,0.0806131257622614,15,96331473,NR2F2,NR2F2,7026,conserved gene but different region in human and mouse,NR2F2_fiveUTR,5' UTR,7,70360972.0,Nr2f2
245,cg11254527,0.0802945233657458,1,35408094,ZMYM4,ZMYM4,9202,conserved gene and region in mouse and human,ZMYM4_Exon,"Exon (ENST00000314607.11/9202, exon 26 of 30)",4,126877693.0,Zmym4
260,cg07081182,0.0801413412243253,1,213159525,RPS6KC1,RPS6KC1,26750,conserved gene and region in mouse and human,RPS6KC1_Intron,"Intron (ENST00000543354.5/26750, intron 5 of 13)",1,190853897.0,Rps6kc1
311,cg21839725,0.0798026938082029,19,35723809,KMT2B,KMT2B,9757,conserved gene and region in mouse and human,KMT2B_Exon,"Exon (ENST00000420124.2/9757, exon 8 of 37)",7,30583384.0,Kmt2b
559,cg05801021,0.0793152460171697,10,49396212,DRGX,DRGX,644168,conserved gene and region in mouse and human,DRGX_Promoter,Promoter (<=1kb),14,32599268.0,Prrxl1
519,cg14738500,0.0791544739829005,1,92486763,GFI1,GFI1,2672,conserved gene but different region in human and mouse,GFI1_fiveUTR,Promoter (<=1kb),5,107726684.0,Gfi1
660,cg02658193,0.0784763307502435,4,108173473,LEF1-AS1,LEF1-AS1,641518,mapped to different gene in human and mouse,LEF1-AS1_Exon,"Exon (ENST00000436413.5/641518, exon 2 of 3)",3,131106003.0,Lef1
425,cg14701342,0.0779089836475371,18,77833139,LINC01029,GALR1,101927715,"mapped in human, not mapped in mouse",LINC01029_Intergenic_downstream,Distal Intergenic,18,81852564.0,Gm50297
577,cg05584618,0.0776216929041437,4,95505316,UNC5C,UNC5C,8633,conserved gene and region in mouse and human,UNC5C_Intron,"Intron (ENST00000453304.6/8633, intron 1 of 15)",3,141510017.0,Unc5c
78,cg03708116,0.0734363607024534,19,38390357,SPRED3,SPRED3,399473,"mapped in human, not mapped in mouse",SPRED3_Exon,"Exon (ENST00000586301.5/399473, exon 2 of 6)",7,29167866.0,Spred3
263,cg04366185,0.0729013062524385,12,53839038,CISTR,HOXC13,102216268,mapped to different gene in human and mouse,CISTR_Intron,"Intron (ENST00000663306.1/ENST00000663306.1, intron 1 of 4)",15,102833180.0,Gm49473
81,cg11666770,0.0712544701400041,19,41926758,LOC100505585,ARHGEF1,100505585,mapped to different gene in human and mouse,LOC100505585_Intron,"Intron (ENST00000599589.5/9138, intron 19 of 20)",7,24943195.0,Erfl
610,cg02753151,0.0705257636346027,19,10642919,SLC44A2,SLC44A2,57153,"mapped in human, not mapped in mouse",SLC44A2_Exon,"Exon (ENST00000586078.5/57153, exon 22 of 22)",9,21353023.0,Slc44a2
717,cg04817453,0.069853174591844,16,73053847,ZFHX3,ZFHX3,463,"mapped in human, not mapped in mouse",ZFHX3_Intron,"Intron (ENST00000397992.5/463, intron 1 of 8)",,,
246,cg11672180,0.0694216988041558,1,63317732,LINC00466,LINC00466,199899,"mapped in human, not mapped in mouse",LINC00466_Promoter,Promoter (<=1kb),,,
534,cg23627331,0.0688747849589914,2,162188580,FAP,FAP,2191,conserved gene and region in mouse and human,FAP_Intron,"Intron (ENST00000422436.5/2191, intron 6 of 12)",2,62517934.0,Fap
159,cg19719499,0.0686185378718897,3,119923407,GSK3B,GSK3B,2932,"mapped in human, not mapped in mouse",GSK3B_Exon,"Exon (ENST00000264235.12/2932, exon 4 of 11)",16,38184510.0,Gsk3b
247,cg26014931,0.0685476807245903,5,77973118,LOC101929154,TBCA,101929154,mapped to different gene in human and mouse,LOC101929154_Intergenic_downstream,Distal Intergenic,13,94595793.0,Ap3b1
471,cg17783618,0.0684987665332882,6,147868304,SAMD5,SAMD5,389432,conserved gene and region in mouse and human,SAMD5_Intron,"Intron (ENST00000427015.1/ENST00000427015.1, intron 1 of 2)",10,9345766.0,Gm48750
454,cg17718834,0.0666554163012197,1,10623271,PEX14,PEX14,5195,conserved gene but different region in human and mouse,PEX14_threeUTR,3' UTR,4,148967378.0,Pex14
542,cg12421693,0.0658646401219698,1,216518256,ESRRG,ESRRG,2104,conserved gene and region in mouse and human,ESRRG_Intron,"Intron (ENST00000616180.4/2104, intron 6 of 6)",1,188199743.0,Esrrg
338,cg00258262,0.0646816103704225,1,90828767,LINC02609,BARHL2,105378853,mapped to different gene in human and mouse,LINC02609_Exon,"Exon (ENST00000658618.1/105378853, exon 2 of 2)",5,106554673.0,Gm17304
504,cg07499079,0.0617746172206233,18,57486199,ONECUT2,ONECUT2,9480,conserved gene and region in mouse and human,ONECUT2_threeUTR,3' UTR,18,64396092.0,Onecut2
330,cg25430489,0.0610279890840528,14,76462595,ESRRB,ESRRB,2103,"mapped in human, not mapped in mouse",ESRRB_Exon,"Exon (ENST00000512784.6/2103, exon 3 of 7)",12,86488597.0,Esrrb
643,cg01571965,0.0609897138682572,2,60460693,BCL11A,BCL11A,53335,conserved gene but different region in human and mouse,BCL11A_threeUTR,3' UTR,11,24164876.0,Bcl11a
164,cg16554811,0.0582333305275105,15,70097877,TLE3,TLE3,7090,conserved gene and region in mouse and human,TLE3_fiveUTR,Promoter (<=1kb),9,61372405.0,Tle3
224,cg18535797,0.0576636264957103,11,15507804,LOC102724957,INSC,102724957,mapped to different gene in human and mouse,LOC102724957_Intergenic_upstream,Distal Intergenic,7,115092883.0,Rpl19-ps10
315,cg16960327,0.0566355442587109,1,90007481,ZNF326,ZNF326,284695,conserved gene and region in mouse and human,ZNF326_Exon,"Exon (ENST00000340281.9/284695, exon 5 of 12)",5,105888570.0,Zfp326
703,cg07987507,0.0547811060584776,11,83484266,DLG2,DLG2,1740,conserved gene and region in mouse and human,DLG2_Intron,"Intron (ENST00000280241.12/1740, intron 15 of 21)",7,92417185.0,Dlg2
734,cg18221275,0.0543347733739047,18,46460595,RNF165,RNF165,494470,"mapped in human, not mapped in mouse",RNF165_threeUTR,3' UTR,18,77458451.0,Rnf165
112,cg03663497,0.0533772891333824,18,32975004,CCDC178,CCDC178,374864,conserved gene and region in mouse and human,CCDC178_Intron,"Intron (ENST00000581852.5/374864, intron 1 of 2)",18,21845348.0,Ccdc178
67,cg17266282,0.0505111204626911,6,111973329,LINC02527,CCN6,105377946,"mapped in human, not mapped in mouse",LINC02527_Intergenic_upstream,Distal Intergenic,,,
465,cg07900685,0.0488249265780812,2,213056893,IKZF2,IKZF2,22807,conserved gene but different region in human and mouse,IKZF2_threeUTR,3' UTR,1,69577841.0,Ikzf2
363,cg16848740,0.0484421047127725,7,27184373,HOXA11,HOXA11,3207,conserved gene but different region in human and mouse,HOXA11_Promoter,Promoter (<=1kb),6,52244948.0,Hoxa11
435,cg11124915,0.0484352384079292,11,10806872,EIF4G2,EIF4G2,1982,conserved gene and region in mouse and human,EIF4G2_Exon,"Exon (ENST00000526148.5/1982, exon 3 of 22)",7,111080951.0,Eif4g2
244,cg18169540,0.0479187412135379,3,184170708,DVL3,DVL3,1857,"mapped in human, not mapped in mouse",DVL3_Exon,"Exon (ENST00000313143.9/1857, exon 15 of 15)",16,20531469.0,Dvl3
621,cg16571746,0.0479041802265854,9,14314661,NFIB,NFIB,4781,"mapped in human, not mapped in mouse",NFIB_Intron,"Intron (ENST00000635877.1/4781, intron 1 of 9)",,,
319,cg23287176,0.0472526857844575,1,10672330,CASZ1,CASZ1,54897,mapped to different gene in human and mouse,CASZ1_Intron,"Intron (ENST00000377022.8/54897, intron 4 of 20)",4,148922240.0,Casz1
325,cg25072946,0.0457440438260926,11,63910494,MARK2,MARK2,2011,conserved gene and region in mouse and human,MARK2_threeUTR,3' UTR,19,7275953.0,Mark2
3,cg06259996,0.0451491107308819,5,93585317,NR2F1-AS1,NR2F1,441094,mapped to different gene in human and mouse,NR2F1-AS1_Exon,Promoter (<=1kb),13,78198288.0,Nr2f1
688,cg23320654,0.0444610280056168,17,65558878,AXIN2,AXIN2,8313,conserved gene and region in mouse and human,AXIN2_Intron,"Intron (ENST00000307078.10/8313, intron 1 of 10)",11,108923011.0,Axin2
329,cg24787338,0.0444475689067113,14,52950527,FERMT2,FERMT2,10979,conserved gene and region in mouse and human,FERMT2_Exon,Promoter (<=1kb),14,45529540.0,Fermt2
568,cg01036016,0.0436255679018232,5,36995702,NIPBL,NIPBL,25836,conserved gene and region in mouse and human,NIPBL_Exon,"Exon (ENST00000282516.13/25836, exon 11 of 47)",15,8343576.0,Nipbl
704,cg05456580,0.0434460437622846,14,31135533,HECTD1,HECTD1,25831,"mapped in human, not mapped in mouse",HECTD1_Exon,"Exon (ENST00000399332.6/25831, exon 21 of 43)",12,51774708.0,Hectd1
277,cg03820088,0.0431142822533766,7,23522229,TRA2A,TRA2A,29896,conserved gene but different region in human and mouse,TRA2A_fiveUTR,5' UTR,6,49252905.0,Tra2a
572,cg04363039,0.0424823351136433,5,78017237,AP3B1,AP3B1,8546,conserved gene and region in mouse and human,AP3B1_Intron,"Intron (ENST00000255194.10/8546, intron 25 of 26)",13,94546057.0,Ap3b1
230,cg17356452,0.0419813996366683,3,141387078,ZBTB38,ZBTB38,253461,"mapped in human, not mapped in mouse",ZBTB38_Exon,"Exon (ENST00000507657.1/253461, exon 4 of 4)",9,96732104.0,Zbtb38
359,cg07332354,0.0415085270940378,5,88883996,MEF2C-AS1,MEF2C,101929423,mapped to different gene in human and mouse,MEF2C-AS1_Promoter,Promoter (<=1kb),13,83524027.0,Mef2c
68,cg18468088,0.041370545434498,6,35523041,TULP1,TULP1,7287,"mapped in human, not mapped in mouse",TULP1_Intergenic_upstream,Distal Intergenic,,,
318,cg22409694,0.0390172272865918,1,87338099,LMO4,LMO4,8543,conserved gene and region in mouse and human,LMO4_Intron,"Intron (ENST00000370544.10/8543, intron 2 of 4)",3,144196044.0,Lmo4
525,cg22100382,0.0387786684920783,2,147512452,ACVR2A,ACVR2A,92,"mapped in human, not mapped in mouse",ACVR2A_Intergenic_upstream,Distal Intergenic,2,48481565.0,Gm13472
470,cg15301611,0.038017238410754,6,108114691,OSTM1,OSTM1,28962,conserved gene and region in mouse and human,OSTM1_Intron,"Intron (ENST00000440575.6/28962, intron 2 of 6)",10,42636444.0,Ostm1
676,cg17417202,0.0370635324259827,17,48626252,HOXB7,HOXB9,3217,mapped to different gene in human and mouse,HOXB7_Exon,"Exon (ENST00000311177.7/3219, exon 1 of 2)",11,96271558.0,Hoxb9
293,cg21180487,0.0370412120723868,1,154171419,TPM3,TPM3,7170,mapped to different gene in human and mouse,TPM3_threeUTR,3' UTR,3,90089116.0,Tpm3
160,cg21132526,0.036681333093625,3,18370886,SATB1,SATB1,6304,conserved gene but different region in human and mouse,SATB1_Intron,"Intron (ENST00000414318.2/9779, intron 1 of 8)",17,51761485.0,Satb1
335,cg23687194,0.0347588988279836,6,19839144,ID4,ID4,3400,conserved gene and region in mouse and human,ID4_Intron,"Intron (ENST00000378700.8/3400, intron 2 of 2)",13,48262886.0,Id4
47,cg26148010,0.0342815034683724,14,97946851,LINC01550,LINC01550,388011,mapped to different gene in human and mouse,LINC01550_Intron,"Intron (ENST00000499006.7/388011, intron 2 of 2)",12,106929362.0,Gm9599
656,cg25381383,0.0337652547232631,15,37102429,MEIS2,MEIS2,4212,mapped to different gene in human and mouse,MEIS2_Promoter,Promoter (1-2kb),2,116067922.0,Meis2
145,cg23415880,0.0335102488749143,13,27792287,GSX1,GSX1,219409,conserved gene and region in mouse and human,GSX1_Promoter,Promoter (<=1kb),5,147188486.0,Gsx1
584,cg19275555,0.0329061945293401,10,75613828,LRMDA,LRMDA,83938,conserved gene and region in mouse and human,LRMDA_Intron,"Intron (ENST00000611255.5/83938, intron 2 of 6)",14,22168233.0,Lrmda
683,cg19683912,0.0320658250246154,5,77971861,LOC101929154,TBCA,101929154,mapped to different gene in human and mouse,LOC101929154_Intergenic_downstream,Distal Intergenic,13,94596949.0,Ap3b1
39,cg08510667,0.0312676026720479,17,78359068,SOCS3,SOCS3,9021,conserved gene and region in mouse and human,SOCS3_Exon,"Exon (ENST00000330871.3/9021, exon 2 of 2)",11,117968203.0,Socs3
635,cg21633990,0.0312355459966012,9,134830033,COL5A1,COL5A1,1289,conserved gene and region in mouse and human,COL5A1_Exon,"Exon (ENST00000371817.7/1289, exon 64 of 66)",2,28029024.0,Col5a1
86,cg12815291,0.031182490702223,8,143439468,ZC3H3,ZC3H3,23144,conserved gene and region in mouse and human,ZC3H3_Intron,"Intron (ENST00000262577.6/23144, intron 11 of 11)",15,75756305.0,Zc3h3
555,cg06250511,0.0307555724579321,8,125219571,NSMCE2,NSMCE2,286053,"mapped in human, not mapped in mouse",NSMCE2_Intron,"Intron (ENST00000517532.5/286053, intron 5 of 6)",,,
708,cg08212459,0.030526829340782,5,77847813,TBCA,TBCA,6902,conserved gene but different region in human and mouse,TBCA_Intron,"Intron (ENST00000522370.1/6902, intron 1 of 3)",13,94707063.0,Gm48316
344,cg02034779,0.0301456378954406,1,20482558,CAMK2N1,CAMK2N1,55450,"mapped in human, not mapped in mouse",CAMK2N1_threeUTR,3' UTR,,,
406,cg11690941,0.0294827214545692,14,93474290,UNC79,UNC79,57578,conserved gene but different region in human and mouse,UNC79_fiveUTR,5' UTR,12,102998687.0,Unc79
491,cg26154615,0.0282671139297729,7,70446597,AUTS2,AUTS2,26053,"mapped in human, not mapped in mouse",AUTS2_Intron,"Intron (ENST00000644939.1/26053, intron 5 of 18)",,,
620,cg15254020,0.0279286494499117,9,123422950,DENND1A,DENND1A,57706,conserved gene and region in mouse and human,DENND1A_Intron,"Intron (ENST00000473039.5/57706, intron 14 of 17)",2,37832524.0,Dennd1a
637,cg03163184,0.0272858488697548,12,16610213,LMO3,LMO3,55885,conserved gene but different region in human and mouse,LMO3_Promoter,Promoter (<=1kb),6,138426780.0,Lmo3
694,cg12813831,0.0271447635049683,8,59657932,LOC100505501,TOX,100505501,mapped to different gene in human and mouse,LOC100505501_Intergenic_downstream,Distal Intergenic,4,7596412.0,Gm11794
345,cg02172466,0.0263343583358261,1,10647946,CASZ1,CASZ1,54897,"mapped in human, not mapped in mouse",CASZ1_Exon,"Exon (ENST00000606802.1/ENST00000606802.1, exon 2 of 2)",4,148944450.0,Casz1
303,cg19271316,0.0253672058662678,2,229880039,TRIP12,TRIP12,9320,conserved gene and region in mouse and human,TRIP12_Exon,"Exon (ENST00000283943.9/9320, exon 2 of 41)",1,84814880.0,Trip12
292,cg21102110,0.0252686330609154,1,62994313,LINC01739,ATG4C,105378769,"mapped in human, not mapped in mouse",LINC01739_Intron,"Intron (ENST00000641890.1/105378769, intron 1 of 1)",4,99370501.0,Gm12685
125,cg19981759,0.0248739450383506,3,147409413,LOC440982,ZIC1,440982,mapped to different gene in human and mouse,LOC440982_fiveUTR,5' UTR,9,91365750.0,Zic1
306,cg20391664,0.0245199978230101,2,156326973,NR4A2,NR4A2,4929,conserved gene and region in mouse and human,NR4A2_Intron,"Intron (ENST00000339562.9/4929, intron 5 of 7)",2,57109318.0,Nr4a2
